0000000001,0000000000,063178,061106,066800,066934,096059,-52717,-37273
0000000002,0000000833,063221,061031,066832,066934,093121,-25505,-61546
0000000003,0000001667,063280,060962,066842,066934,081155,004177,-79262
0000000004,0000002500,063351,060905,066828,066934,061329,033437,-88697
0000000005,0000003333,063426,060866,066792,066934,035554,059397,-88881
0000000006,0000004167,063498,060848,066738,066934,006382,079530,-79842
0000000007,0000005000,063560,060854,066670,066934,-23345,091874,-62460
0000000008,0000005833,063606,060883,066595,066934,-50707,095180,-38404
0000000009,0000006667,063631,060932,066522,066934,-73035,089166,-10062
0000000010,0000007500,063633,060996,066456,066934,-88155,074418,019806
0000000011,0000008333,063611,061069,066404,066934,-94546,052345,048270
0000000012,0000009167,063569,061144,066372,066934,-91623,025142,072550
0000000013,0000010000,063509,061213,066362,066934,-79671,-04540,090280
0000000014,0000010833,063439,061270,066375,066934,-59822,-33794,099686
0000000015,0000011667,063363,061309,066411,066934,-34057,-59759,099886
0000000016,0000012500,063291,061327,066466,066934,-04887,-79904,090860
0000000017,0000013333,063230,061321,066534,066934,024838,-92222,073454
0000000018,0000014167,063184,061292,066608,066934,052203,-95543,049409
0000000019,0000015000,063159,061243,066682,066934,074543,-89543,021069
0000000020,0000015833,063157,061179,066748,066934,089638,-74769,-08800
0000000021,0000016667,063178,061106,066799,066934,096043,-52707,-37266
0000000022,0000017500,063221,061031,066832,066934,093134,-25509,-61556
0000000023,0000018333,063280,060962,066842,066934,081155,004177,-79262
0000000024,0000019167,063351,060905,066828,066934,061319,033432,-88682
0000000025,0000020000,063426,060866,066792,066934,035560,059406,-88896
0000000026,0000020833,063498,060848,066738,066934,006382,079530,-79842
0000000027,0000021667,063560,060854,066670,066934,-23341,091860,-62449
0000000028,0000022500,063606,060883,066595,066934,-50715,095196,-38411
0000000029,0000023333,063631,060932,066521,066934,-73035,089166,-10062
0000000030,0000024167,063633,060996,066455,066934,-88141,074406,019804
0000000031,0000025000,063612,061069,066404,066934,-94561,052354,048277
0000000032,0000025833,063569,061144,066371,066934,-91623,025143,072550
0000000033,0000026667,063509,061213,066362,066934,-79658,-04539,090267
0000000034,0000027500,063439,061270,066375,066934,-59832,-33799,099701
0000000035,0000028333,063363,061309,066411,066934,-34058,-59759,099886
0000000036,0000029167,063291,061327,066466,066934,-04885,-79892,090847
0000000037,0000030000,063230,061321,066533,066934,024842,-92236,073464
0000000038,0000030833,063184,061292,066608,066934,052203,-95542,049409
0000000039,0000031667,063159,061243,066682,066934,074532,-89528,021066
0000000040,0000032500,063157,061179,066748,066934,089652,-74780,-08802
0000000041,0000033333,063178,061106,066799,066934,096043,-52707,-37266
0000000042,0000034167,063221,061032,066832,066934,093120,-25505,-61546
0000000043,0000035000,063280,060962,066842,066934,081168,004178,-79276
0000000044,0000035833,063351,060905,066828,066934,061319,033432,-88682
0000000045,0000036667,063426,060866,066792,066934,035554,059397,-88882
0000000046,0000037500,063498,060848,066738,066934,006383,079542,-79856
0000000047,0000038333,063560,060854,066670,066934,-23341,091860,-62449
0000000048,0000039167,063606,060883,066595,066934,-50707,095181,-38404
0000000049,0000040000,063631,060932,066521,066934,-73047,089181,-10064
0000000050,0000040833,063633,060996,066455,066934,-88141,074407,019804
0000000051,0000041667,063611,061069,066404,066934,-94546,052345,048270
0000000052,0000042500,063569,061144,066371,066934,-91638,025147,072561
0000000053,0000043333,063509,061213,066362,066934,-79658,-04539,090266
0000000054,0000044167,063439,061270,066375,066934,-59822,-33794,099686
