0000000068,0000055833,065803,059191,074873,071311,084625,099134,-41152,084404,095690,-38797
0000000069,0000056667,065828,059239,067487,071311,082392,098533,-12809,082171,089676,-10454
0000000070,0000057500,065830,059303,060884,071311,080880,097058,017059,080659,074928,019414
0000000071,0000058333,065809,059376,055716,071311,080241,094850,045523,080020,052855,047878
0000000072,0000059167,065767,059451,052483,071311,080534,092130,069803,080313,025652,072158
0000000073,0000060000,065707,059521,051500,071311,081729,089162,087533,081508,-04030,089887
0000000074,0000060833,065636,059578,052873,071311,083714,086236,096938,083493,-33285,099293
0000000075,0000061667,065561,059617,056458,071311,086290,083640,097138,086069,-59249,099493
0000000076,0000062500,065489,059635,061904,071311,089207,081625,088113,088986,-79395,090468
0000000077,0000063333,065427,059629,068685,071311,092180,080394,070706,091959,-91713,073061
0000000078,0000064167,065381,059600,076131,071311,094916,080062,046661,094695,-95033,049016
0000000079,0000065000,065356,059551,083517,071311,097150,080662,018321,096929,-89033,020676
0000000080,0000065833,065354,059487,090115,071311,098660,082139,-11547,098439,-74259,-09192
0000000081,0000066667,065376,059414,095284,071311,099300,084345,-40014,099079,-52198,-37659
0000000082,0000067500,065418,059339,098521,071311,099009,087065,-64304,098788,-24999,-61949
0000000083,0000068333,065478,059270,099498,071311,097811,090034,-82010,097590,004686,-79655
0000000084,0000069167,065549,059213,098129,071311,095828,092959,-91429,095607,033941,-89074
0000000085,0000070000,065624,059173,094549,071311,093252,095556,-91644,093031,059916,-89289
0000000086,0000070833,065696,059156,089098,071311,090334,097569,-82590,090113,080039,-80235
0000000087,0000071667,065758,059162,082318,071311,087362,098802,-65197,087141,092369,-62842
0000000088,0000072500,065803,059191,074871,071311,084624,099135,-41159,084403,095705,-38804
0000000089,0000073333,065828,059239,067486,071311,082392,098533,-12809,082171,089676,-10454
0000000090,0000074167,065830,059303,060885,071311,080882,097057,017057,080661,074916,019412
0000000091,0000075000,065809,059376,055712,071311,080240,094851,045530,080019,052863,047885
0000000092,0000075833,065767,059451,052482,071311,080534,092130,069803,080313,025652,072158
0000000093,0000076667,065707,059521,051503,071311,081730,089162,087519,081509,-04030,089874
0000000094,0000077500,065636,059578,052869,071311,083713,086236,096953,083492,-33290,099308
0000000095,0000078333,065561,059617,056457,071311,086290,083640,097138,086069,-59249,099493
0000000096,0000079167,065489,059635,061906,071311,089207,081627,088099,088986,-79382,090454
0000000097,0000080000,065427,059629,068684,071311,092180,080392,070717,091959,-91727,073072
0000000098,0000080833,065381,059600,076131,071311,094916,080062,046661,094695,-95033,049016
0000000099,0000081667,065356,059551,083515,071311,097149,080663,018319,096928,-89019,020674
0000000100,0000082500,065354,059487,090117,071311,098661,082138,-11550,098440,-74271,-09195
0000000101,0000083333,065376,059414,095284,071311,099300,084345,-40013,099079,-52198,-37659
0000000102,0000084167,065418,059339,098517,071311,099008,087065,-64293,098787,-24995,-61938
0000000103,0000085000,065478,059270,099501,071311,097813,090034,-82023,097592,004687,-79668
0000000104,0000085833,065549,059213,098129,071311,095828,092959,-91429,095607,033941,-89074
0000000105,0000086667,065624,059173,094545,071311,093251,095556,-91629,093030,059906,-89274
0000000106,0000087500,065696,059156,089099,071311,090334,097570,-82603,090113,080052,-80248
0000000107,0000088333,065758,059162,082318,071311,087362,098802,-65197,087141,092369,-62842
0000000108,0000089167,065803,059191,074871,071311,084625,099134,-41152,084404,095690,-38797
0000000109,0000090000,065828,059239,067484,071311,082391,098534,-12812,082170,089690,-10457
0000000110,0000090833,065830,059303,060884,071311,080882,097057,017057,080661,074916,019412
0000000111,0000091667,065809,059376,055714,071311,080241,094850,045523,080020,052855,047878
0000000112,0000092500,065767,059451,052478,071311,080532,092131,069813,080311,025656,072168
0000000113,0000093333,065707,059521,051502,071311,081730,089162,087519,081509,-04030,089874
0000000114,0000094167,065636,059578,052872,071311,083714,086236,096938,083493,-33285,099293
0000000115,0000095000,065561,059617,056454,071311,086290,083639,097153,086069,-59259,099508
0000000116,0000095833,065489,059635,061905,071311,089207,081627,088099,088986,-79382,090454
0000000117,0000096667,065427,059629,068684,071311,092180,080394,070706,091959,-91713,073061
0000000118,0000097500,065381,059600,076130,071311,094917,080060,046668,094696,-95048,049023
0000000119,0000098333,065356,059551,083514,071311,097149,080663,018319,096928,-89019,020674
0000000120,0000099167,065354,059487,090114,071311,098660,082139,-11547,098439,-74259,-09193
0000000121,0000100000,065376,059414,095287,071311,099302,084344,-40020,099081,-52206,-37665
0000000122,0000100833,065418,059339,098517,071311,099008,087065,-64293,098787,-24995,-61938
0000000123,0000101667,065478,059270,099497,071311,097811,090034,-82010,097590,004686,-79655
